id,user_followers_count,user_followed_count,number_tweets,Profile
mybluekite,59,354,1,Other
laylapup,1911,1579,1,Other
scorpiotiger77,1181,5001,4,Other
AmberxWoods,36,421,1,Other
DebbieQuick9,1017,1414,1,Other
Ras63H,1454,1852,1,Other
G4LMATT,1882,1210,3,Other
JohnSteed160672,3479,5004,4,Other
satanicmerwitch,98,357,1,Other
katebxsh,334,333,1,Other
ChristineJameis,6983,7675,8,Other
jly1960,4203,4754,1,Other
jackieschneider,12135,4682,1,Politician
Nafiisaa3,17,53,1,Other
MichaelRosenYes,238534,2944,0,Writer
